deal_website_name,cancellation_year,grid_name,grid
,2018,Fraunhofer Institute for Interfacial Engineering and Biotechnology,grid.469831.1
,2018,Fraunhofer Institute for Laser Technology,grid.461628.f
,2018,Fraunhofer Institute for Machine Tools and Forming Technology,grid.461651.1
,2018,Fraunhofer Institute for Manufacturing Engineering and Automation,grid.469833.3
,2018,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,grid.461617.3
,2018,Fraunhofer Institute for Material Flow and Logistics,grid.469827.6
,2018,Fraunhofer Institute for Material and Beam Technology,grid.461641.0
,2018,Fraunhofer Institute for Mechanics of Materials,grid.461645.4
,2018,Fraunhofer Institute for Mechatronic Systems Design,grid.469868.d
,2018,Fraunhofer Institute for Microelectronic Circuits and Systems,grid.469854.2
,2018,Fraunhofer Institute for Microengineering and Microsystems,grid.28894.3f
,2018,Fraunhofer Institute for Microstructure of Materials and Systems,grid.469857.1
,2018,Fraunhofer Institute for Molecular Biology and Applied Ecology,grid.418010.c
,2018,Fraunhofer Institute for Nondestructive Testing,grid.469830.0
,2018,Fraunhofer Institute for Open Communication Systems,grid.469837.7
,2018,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",grid.469851.7
,2018,Fraunhofer Institute for Photonic Microsystems,grid.469853.5
,2018,Fraunhofer Institute for Physical Measurement Techniques,grid.461631.7
,2018,Fraunhofer Institute for Process Engineering and Packaging,grid.466709.a
,2018,Fraunhofer Institute for Production Systems and Design Technology,grid.469819.b
,2018,Fraunhofer Institute for Production Technology,grid.461634.2
,2018,Fraunhofer Institute for Reliability and Microintegration,grid.469839.9
,2018,Fraunhofer Institute for Secure Information Technology,grid.469848.f
,2018,Fraunhofer Institute for Silicate Research,grid.424644.4
,2018,Fraunhofer Institute for Silicon Technology,grid.469817.5
,2018,Fraunhofer Institute for Software and Systems Engineering,grid.469821.0
,2018,Fraunhofer Institute for Solar Energy Systems,grid.434479.9
,2018,Fraunhofer Institute for Structural Durability and System Reliability,grid.434481.e
,2018,Fraunhofer Institute for Surface Engineering and Thin Films,grid.462227.7
,2018,Fraunhofer Institute for Systems and Innovation Research,grid.459551.9
,2018,Fraunhofer Institute for Technological Trend Analysis,grid.469856.0
,2018,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",grid.435231.2
,2018,Fraunhofer Institute for Toxicology and Experimental Medicine,grid.418009.4
,2018,Fraunhofer Institute for Transportation and Infrastructure Systems,grid.469826.7
,2018,Fraunhofer Institute for Wind Energy Systems,grid.8440.8
,2018,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,grid.469829.8
,2018,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",grid.466706.5
,2018,Fraunhofer Italia Research,grid.469820.1
,2018,Fraunhofer Portugal Research,grid.422955.d
,2018,Fraunhofer Project Centre Wolfsburg,grid.507673.0
,2018,Fraunhofer Research Institution for Additive Production Technology,grid.506239.b
,2018,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",grid.506241.4
,2018,Fraunhofer Research Institution for Energy Infrastructures and Geothermal Systems,grid.507723.4
,2018,Fraunhofer Research Institution for Large Structures in Production Engineering,grid.506226.5
,2018,Fraunhofer Research Institution for Marine Biotechnology and Cell Technology,grid.469834.4
,2018,Fraunhofer Research Institution for Microsystems and Solid State Technologies,grid.469866.3
,2018,Fraunhofer Singapore,grid.507721.6
,2018,Fraunhofer UK Research,grid.469824.5
,2018,Fraunhofer USA,grid.426697.8
Max-Planck-Gesellschaft (MPG),2018,Max Planck Society,grid.4372.2
,2018,Max Planck Center for Visual Computing and Communication,grid.484444.c
,2018,Max Planck Computing and Data Facility,grid.470196.d
