article_pubyear,publisher,institution_name,n_items
2015,Non-Elsevier,Leipzig University,838
2017,Elsevier,Johannes Gutenberg University of Mainz,214
2017,Non-Elsevier,University of Göttingen,858
2012,Non-Elsevier,Chemnitz University of Technology,142
2016,Elsevier,University of Tübingen,315
2020,Non-Elsevier,University of Education Weingarten,13
2018,Non-Elsevier,Federal Institute For Materials Research and Testing,169
2013,Non-Elsevier,Universität Hamburg,564
2014,Non-Elsevier,RWTH Aachen University,1064
2014,Non-Elsevier,TU Darmstadt,500
2013,Non-Elsevier,University of Münster,738
2014,Non-Elsevier,University of Kaiserslautern,285
2018,Elsevier,Philipp University of Marburg,152
2017,Non-Elsevier,University of Giessen,655
2014,Non-Elsevier,University of Duisburg-Essen,686
2013,Non-Elsevier,Paul Ehrlich Institut,36
2013,Non-Elsevier,Philipp University of Marburg,514
2014,Non-Elsevier,Karlsruhe Institute of Technology,858
2012,Non-Elsevier,Technical University of Munich,1298
2020,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,74
2012,Non-Elsevier,Otto-von-Guericke University Magdeburg,342
2020,Elsevier,Otto-von-Guericke University Magdeburg,185
2012,Non-Elsevier,TU Dresden,833
2020,Non-Elsevier,Max Planck Society,131
2015,Non-Elsevier,Heidelberg University,1163
2019,Non-Elsevier,University of Giessen,720
2018,Elsevier,TU Dresden,457
2020,Non-Elsevier,University of Greifswald,513
2019,Non-Elsevier,Karlsruhe Institute of Technology,1159
2012,Elsevier,University of Göttingen,289
2020,Non-Elsevier,Heidelberg University of Education,22
2015,Non-Elsevier,Max Planck Institute for Intelligent Systems,119
2017,Elsevier,University of Tübingen,309
2017,Non-Elsevier,Hannover Medical School,834
2014,Elsevier,Max Planck Institute for Iron Research,52
2018,Non-Elsevier,Kiel University,703
2012,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,94
2015,Non-Elsevier,University of Freiburg,706
2014,Non-Elsevier,German Cancer Research Center,483
2016,Elsevier,TU Darmstadt,233
2020,Non-Elsevier,University of Kaiserslautern,296
2015,Elsevier,Freie Universität Berlin,227
2016,Non-Elsevier,Technische Universität Braunschweig,376
2018,Non-Elsevier,Max Planck Institute for Intelligent Systems,69
2014,Non-Elsevier,University of Kassel,180
2017,Elsevier,Federal Institute For Materials Research and Testing,75
2019,Non-Elsevier,Leipzig University,1003
2013,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,122
2018,Non-Elsevier,German Sport University Cologne,115
2020,Non-Elsevier,Martin Luther University Halle-Wittenberg,696
2012,Non-Elsevier,RWTH Aachen University,912
2015,Non-Elsevier,University of Bamberg,74
2017,Non-Elsevier,University of Paderborn,226
2014,Non-Elsevier,University of Freiburg,740
2017,Elsevier,TU Darmstadt,272
2020,Non-Elsevier,University of Regensburg,583
2014,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,11
2016,Non-Elsevier,University of Hannover,540
2018,Non-Elsevier,Ruhr University Bochum,942
2012,Non-Elsevier,Kiel University,595
2018,Elsevier,University of Paderborn,68
2014,Non-Elsevier,Hamburg University of Technology,124
2015,Elsevier,Leipzig University,277
2020,Non-Elsevier,Leibniz Institute for Baltic Sea Research,51
2020,Elsevier,University of Trier,36
2014,Elsevier,Fraunhofer Institute for Computer Graphics Research,3
2019,Non-Elsevier,Max Planck Institute for Ornithology,45
2016,Non-Elsevier,Max Planck Institute for Gravitational Physics,46
2016,Non-Elsevier,Martin Luther University Halle-Wittenberg,484
2015,Non-Elsevier,Karlsruhe Institute of Technology,1011
2013,Non-Elsevier,Johannes Gutenberg University of Mainz,678
2019,Non-Elsevier,University Medical Center Hamburg-Eppendorf,1029
2014,Elsevier,RWTH Aachen University,465
2016,Elsevier,Technical University of Munich,724
2012,Non-Elsevier,German Institute of Human Nutrition,59
2013,Non-Elsevier,University of Hannover,377
2019,Elsevier,Karlsruhe Institute of Technology,477
2016,Non-Elsevier,Kiel University,677
2019,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",226
2020,Non-Elsevier,Freie Universität Berlin,1078
2016,Elsevier,University of Konstanz,61
2020,Non-Elsevier,TU Dortmund University,459
2015,Non-Elsevier,University of Trier,91
2012,Elsevier,Otto-von-Guericke University Magdeburg,155
2019,Elsevier,Technical University of Berlin,261
2019,Non-Elsevier,University of Bayreuth,409
2018,Non-Elsevier,Martin Luther University Halle-Wittenberg,496
2014,Elsevier,University of Stuttgart,214
2014,Non-Elsevier,University of Münster,815
2013,Non-Elsevier,University of Bonn,812
2017,Non-Elsevier,University of Potsdam,505
2014,Elsevier,Kiel University,185
2017,Non-Elsevier,Leibniz Institute of Polymer Research,60
2012,Elsevier,Kiel University,194
2013,Elsevier,Ruhr University Bochum,274
2017,Non-Elsevier,Julius Kühn-Institut,50
2014,Non-Elsevier,Ruhr University Bochum,695
2013,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,107
2020,Non-Elsevier,University of Tübingen,1223
